vendor_id;article_no;SKU;name;product_type;additional_attributes;configurable_variations;categories;description_short;description_long;product_features;ean_or_gtin_code;manufacturer_no;brand;price;currency;vat_rate;qty;weight;length;width;height;base_image;additional_images
;300228;;Lodlina RANTZOWS;INREDNING;;;Other;Lodlina 7000-7500 mm;Vi har fått mycket beröm för våra mjuka linor. Hampa i absolut högsta kvalitet för lång livslängd. Diameter 34 mm. Förzinkade beslag upptill. Försegling nedtill. Finns i längder mellan 3000-8500 mm.;;;;;1,208.68;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300228;
;300229;;Lodlina RANTZOWS;INREDNING;;;Other;Lodlina 7500-8000 mm;Vi har fått mycket beröm för våra mjuka linor. Hampa i absolut högsta kvalitet för lång livslängd. Diameter 34 mm. Förzinkade beslag upptill. Försegling nedtill. Finns i längder mellan 3000-8500 mm.;;;;;1,262.80;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300229;
;300230;;Lodlina RANTZOWS;INREDNING;;;Other;Lodlina 8000-8500 mm;Vi har fått mycket beröm för våra mjuka linor. Hampa i absolut högsta kvalitet för lång livslängd. Diameter 34 mm. Förzinkade beslag upptill. Försegling nedtill. Finns i längder mellan 3000-8500 mm.;;;;;1,310.36;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300230;
;300231;;Lodlina RANTZOWS;INREDNING;;;Other;Lodlina 8500-9000 mm;Vi har fått mycket beröm för våra mjuka linor. Hampa i absolut högsta kvalitet för lång livslängd. Diameter 34 mm. Förzinkade beslag upptill. Försegling nedtill. Finns i längder mellan 3000-8500 mm.;;;;;1,364.48;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300231;
;300252;;Klätternät till bomsystem;INREDNING;;;Other;Klätternät T Flexsystem;Kraftigt klätternät med förstärkningar i kryssen för extra stabilitet. Perfekt vid anordnande av en klätterbana. Enkel och säker infästning av nätet på aktivitetsbommen. Inkl. infästningsremmar. Färg: blå. Storlek: 3500x2750 mm. Maskstorlek 250 mm.;;;;;14,298.34;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300252;
;300300;;Romerska ringar RANTZOWS J101;INREDNING;;;Other;Romerska ringar RANTZOWS J101;Ringar av bok med individuellt justerbart band för varje ring. Kraftigt låsbart kättingfäste med läderklädd skyddsbåge. I upphissat läge förvaras kättingen i en inbyggd behållare som ingår. Med 1 ringpar. Max takhöjd: 6000 mm.;;;;;5,550.58;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300300;
;300305;;Romerska ringar RANTZOWS J201;INREDNING;;;Other;Romerska ringar RANTZOWS J201;Ringar av bok med individuellt justerbart band för varje ring. Kraftigt låsbart kättingfäste med läderklädd skyddsbåge. I upphissat läge förvaras kättingen i en inbyggd behållare som ingår. Med 2 ringpar. Max takhöjd: 6000 mm.;;;;;9,755.54;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300305;
;300310;;Romerska ringar RANTZOWS J102;INREDNING;;;Other;Romerska ringar RANTZOWS J102;Ringar av bok med individuellt justerbart band för varje ring. Kraftigt låsbart kättingfäste med läderklädd skyddsbåge. I upphissat läge förvaras kättingen i en inbyggd behållare som ingår. Med 1 ringpar. Max takhöjd: 9000 mm.;;;;;6,317.28;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300310;
;300315;;Romerska ringar RANTZOWS J202;INREDNING;;;Other;Romerska ringar RANTZOWS J202;Ringar av bok med individuellt justerbart band för varje ring. Kraftigt låsbart kättingfäste med läderklädd skyddsbåge. I upphissat läge förvaras kättingen i en inbyggd behållare som ingår. Med 2 ringpar. Max takhöjd: 9000 mm.;;;;;11,516.08;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300315;
;300451;;Ribbstol RANTZOWS 1-fack;INREDNING;;;Other;Ribbstol RANTZOWS Liten 1900 mm 1 fack;Finns i 3 modeller. Hög är vår mest populära ribbstol, Mellan används ofta där takhöjden är begränsad och Liten är vanlig i hemmet eller på daghem. Till modellerna Hög och Mellan finns även påbyggnadsfack som tillval.;;;;;2,018.02;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/300451;
