vendor_id;article_no;SKU;name;product_type;additional_attributes;configurable_variations;categories;description_short;description_long;product_features;ean_or_gtin_code;manufacturer_no;brand;price;currency;vat_rate;qty;weight;length;width;height;base_image;additional_images
;306210;;Rockring i plast, stor;FÖRBRUKN;;;Functional training;Rockring i plast, stor;Av plast, blandade färger. 760 mm. Säljs både per styck och i 10-pack.;;;;;36.9;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306210;
;306231;;Gymnastikband;FÖRBRUKN;;;AG/RG/Trampoline;Gymnastikband 4 m, vitt;Träningsband, 4 m långt. Monterat på glasfiberpinne. Ej F.I.G-godkänt. Finns i färgerna vitt, gult, rött, och blått.;;;;;129.56;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306231;
;306232;;Gymnastikband;FÖRBRUKN;;;AG/RG/Trampoline;Gymnastikband 4 m gult;Träningsband, 4 m långt. Monterat på glasfiberpinne. Ej F.I.G-godkänt. Finns i färgerna vitt, gult, rött, och blått.;;;;;129.56;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306232;
;306234;;Gymnastikband;FÖRBRUKN;;;AG/RG/Trampoline;Gymnastikband 4 m rött;Träningsband, 4 m långt. Monterat på glasfiberpinne. Ej F.I.G-godkänt. Finns i färgerna vitt, gult, rött, och blått.;;;;;129.56;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306234;
;306237;;Gymnastikband;FÖRBRUKN;;;AG/RG/Trampoline;Gymnastikband 4 m blått;Träningsband, 4 m långt. Monterat på glasfiberpinne. Ej F.I.G-godkänt. Finns i färgerna vitt, gult, rött, och blått.;;;;;129.56;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306237;
;306251;;Gymnastikband F.I.G, ;FÖRBRUKN;;;AG/RG/Trampoline;Gymnastikband Vitt;Godkänt av F.I.G 6 m långt band, monterat på glasfiberpinne. Finns i färgerna vitt, gult, rött och blått.;;;;;283.72;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306251;
;306252;;Gymnastikband F.I.G, ;FÖRBRUKN;;;AG/RG/Trampoline;Gymnastikband Gult;Godkänt av F.I.G 6 m långt band, monterat på glasfiberpinne. Finns i färgerna vitt, gult, rött och blått.;;;;;283.72;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306252;
;306254;;Gymnastikband F.I.G, ;FÖRBRUKN;;;AG/RG/Trampoline;Gymnastikband Rött;Godkänt av F.I.G 6 m långt band, monterat på glasfiberpinne. Finns i färgerna vitt, gult, rött och blått.;;;;;283.72;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306254;
;306257;;Gymnastikband F.I.G, ;FÖRBRUKN;;;AG/RG/Trampoline;Gymnastikband Blått;Godkänt av F.I.G 6 m långt band, monterat på glasfiberpinne. Finns i färgerna vitt, gult, rött och blått.;;;;;283.72;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306257;
;306270;;Gymnastikkägla SPIETH;FÖRBRUKN;;;AG/RG/Trampoline;Gymnastikkägla SPIETH Vit;Godkänd av F.I.G GM-modell i plast. 450 mm. Finns i färgerna vit, röd och gul.;;;;;192.7;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306270;
;306271;;Gymnastikkägla SPIETH;FÖRBRUKN;;;AG/RG/Trampoline;Gymnastikkägla SPIETH Röd;Godkänd av F.I.G GM-modell i plast. 450 mm. Finns i färgerna vit, röd och gul.;;;;;192.7;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306271;
;306272;;Gymnastikkägla SPIETH;FÖRBRUKN;;;AG/RG/Trampoline;Gymnastikkägla SPIETH Gul;Godkänd av F.I.G GM-modell i plast. 450 mm. Finns i färgerna vit, röd och gul.;;;;;192.7;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306272;
;306300;;Hopprep 4500 2-p;FÖRBRUKN;;;Play & Games;Dubbelrep 2 st á 4,5m (18');2 st rep, längd 4500 mm. Flätade i gult och blått.;;;;;91.02;SEK;25%;SATS;;;;;https://webshop.unisport.com/se_sv/image/306300;
;306302;;Hopprep för utebruk 9000 mm;FÖRBRUKN;;;Play & Games;Superlångrep 9m  (30');9 m långt plasthopprep med handtag. Upp till 20 personer kan hoppa samtidigt.;;;;;106.6;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306302;
;306310;;Hopprep, flätade 10-p;FÖRBRUKN;;;Other;Hopprep 2800 mm 10-pack;10-pack med hopprep av 8 mm flätad lina. Blandade färger. Finns i 2 längder.;;;;;227.96;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/306310;
;306320;;Hopprep, flätade 10-p;FÖRBRUKN;;;Other;Hopprep 3300 mm 10-pack;10-pack med hopprep av 8 mm flätad lina. Blandade färger. Finns i 2 längder.;;;;;249.28;SEK;25%;FP;;;;;https://webshop.unisport.com/se_sv/image/306320;
;306325;;Hopprep för utebruk 2730 mm;FÖRBRUKN;;;Other;Hopprep för utebruk 2730 mm;Av slitstark plast. Perfekt på asfalt och grus. 2730 mm långt. Per styck.;;;;;23.78;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306325;
;306330;;Hopprep RSG;FÖRBRUKN;;;Other;Hopprep RSG  Vitt;F.I.G godkänt. Hårt, rundflätat nylonrep. Finns i färgerna vitt, rött, gult och grönt.;;;;;57.4;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306330;
;306331;;Hopprep RSG;FÖRBRUKN;;;Other;Hopprep RSG  Rött;F.I.G godkänt. Hårt, rundflätat nylonrep. Finns i färgerna vitt, rött, gult och grönt.;;;;;57.4;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306331;
;306332;;Hopprep RSG;FÖRBRUKN;;;Other;Hopprep RSG  Gult;F.I.G godkänt. Hårt, rundflätat nylonrep. Finns i färgerna vitt, rött, gult och grönt.;;;;;57.4;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306332;
;306333;;Hopprep RSG;FÖRBRUKN;;;Other;Hopprep RSG  Grönt;F.I.G godkänt. Hårt, rundflätat nylonrep. Finns i färgerna vitt, rött, gult och grönt.;;;;;57.4;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306333;
;306410;;Gymnastikboll Pumpbar;BOLLAR;;;AG/RG/Trampoline;Gymnastikboll Pumpbar Röd;Godkänd av F.I.G 190 mm i diam. Finns i färgerna röd, blå, gul, vit, grön och svart.;;;;;198.44;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306410;
;306411;;Gymnastikboll Pumpbar;BOLLAR;;;AG/RG/Trampoline;Gymnastikboll Pumpbar Blå;Godkänd av F.I.G 190 mm i diam. Finns i färgerna röd, blå, gul, vit, grön och svart.;;;;;194.34;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306411;
;306413;;Gymnastikboll Pumpbar;BOLLAR;;;AG/RG/Trampoline;Gymnastikboll Pumpbar Gul;Godkänd av F.I.G 190 mm i diam. Finns i färgerna röd, blå, gul, vit, grön och svart.;;;;;194.34;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306413;
;306414;;Gymnastikboll Pumpbar;BOLLAR;;;AG/RG/Trampoline;Gymnastikboll Pumpbar Vit;Godkänd av F.I.G 190 mm i diam. Finns i färgerna röd, blå, gul, vit, grön och svart.;;;;;194.34;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306414;
;306415;;Gymnastikboll Pumpbar;BOLLAR;;;AG/RG/Trampoline;Gymnastikboll Pumpbar Grön;Godkänd av F.I.G 190 mm i diam. Finns i färgerna röd, blå, gul, vit, grön och svart.;;;;;194.34;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306415;
;306417;;Gymnastikboll Pumpbar;BOLLAR;;;AG/RG/Trampoline;Gymnastikboll Pumpbar Svart;Godkänd av F.I.G 190 mm i diam. Finns i färgerna röd, blå, gul, vit, grön och svart.;;;;;194.34;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306417;
;306420;;Gymnastikboll LEDRAPLASTIC;BOLLAR;;;AG/RG/Trampoline;Gymnastikboll LedraPlastic;Gymnastikboll som är pumpbar mellan 160-190 mm. Finns i färgerna röd, blå, grön och gul.;;;;;80.36;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306420;
;306421;;Gymnastikboll LEDRAPLASTIC;BOLLAR;;;AG/RG/Trampoline;Gymnastikboll LedraPlastic;Gymnastikboll som är pumpbar mellan 160-190 mm. Finns i färgerna röd, blå, grön och gul.;;;;;80.36;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306421;
;306422;;Gymnastikboll LEDRAPLASTIC;BOLLAR;;;AG/RG/Trampoline;Gymnastikboll LedraPlastic;Gymnastikboll som är pumpbar mellan 160-190 mm. Finns i färgerna röd, blå, grön och gul.;;;;;80.36;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306422;
;306423;;Gymnastikboll LEDRAPLASTIC;BOLLAR;;;AG/RG/Trampoline;Gymnastikboll LedraPlastic;Gymnastikboll som är pumpbar mellan 160-190 mm. Finns i färgerna röd, blå, grön och gul.;;;;;80.36;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306423;
;306511;;Medicinboll ALL IN SPORT;BOLLAR;;;Functional training;Medicinboll ALL IN SPORT;Medicinboll av gummi. Ett bra redskap för styrkeövningar och rehabilitering som ej är lämplig att kasta i golvet eller mot en vägg.;;;;;203.36;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306511;
;306512;;Medicinboll ALL IN SPORT;BOLLAR;;;Functional training;Medicinboll ALL IN SPORT;Medicinboll av gummi. Ett bra redskap för styrkeövningar och rehabilitering som ej är lämplig att kasta i golvet eller mot en vägg.;;;;;227.96;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306512;
;306513;;Medicinboll ALL IN SPORT;BOLLAR;;;Functional training;Medicinboll ALL IN SPORT;Medicinboll av gummi. Ett bra redskap för styrkeövningar och rehabilitering som ej är lämplig att kasta i golvet eller mot en vägg.;;;;;273.06;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306513;
;306514;;Medicinboll ALL IN SPORT;BOLLAR;;;Functional training;Medicinboll ALL IN SPORT;Medicinboll av gummi. Ett bra redskap för styrkeövningar och rehabilitering som ej är lämplig att kasta i golvet eller mot en vägg.;;;;;330.46;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306514;
;306515;;Medicinboll ALL IN SPORT;BOLLAR;;;Functional training;Medicinboll ALL IN SPORT;Medicinboll av gummi. Ett bra redskap för styrkeövningar och rehabilitering som ej är lämplig att kasta i golvet eller mot en vägg.;;;;;339.48;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306515;
;306516;;Medicinboll ALL IN SPORT;BOLLAR;;;Functional training;Medicinboll ALL IN SPORT;Medicinboll av gummi. Ett bra redskap för styrkeövningar och rehabilitering som ej är lämplig att kasta i golvet eller mot en vägg.;;;;;380.48;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306516;
;306518;;Medicinboll ALL IN SPORT;BOLLAR;;;Functional training;Medicinboll ALL IN SPORT;Medicinboll av gummi. Ett bra redskap för styrkeövningar och rehabilitering som ej är lämplig att kasta i golvet eller mot en vägg.;;;;;472.32;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306518;
;306520;;Medicinboll ALL IN SPORT;BOLLAR;;;Functional training;Medicinboll ALL IN SPORT;Medicinboll av gummi. Ett bra redskap för styrkeövningar och rehabilitering som ej är lämplig att kasta i golvet eller mot en vägg.;;;;;587.94;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306520;
;306550;;Hoppboll;BOLLAR;;;Play & Games;Hoppboll 45 cm;Rolig och uppskattad lekboll. Finns i 2 storlekar.;;;;;218.94;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306550;
;306581;;Fitnessboll GYMNIC Plus;FÖRBRUKN;;;Functional training;Gymnic Plus boll Grön 65 cm;Trevligt redskap för rörelseträning, rehabilitering, balans- och fitnessövningar. Bollen har den rätta, mjuka ytkänslan och är speciellt utformad att tåla höga vikter (300 kg) och tuffa tag. Bristningssäker vid skada.;;;;;218.94;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306581;
;306601;;Gymnastikexpander 3300;FÖRBRUKN;;;Functional training;Gymnastikexpander  3,3 m;Längd 3300 mm. Ett bra redskap för muskelträning.;;;;;162.36;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306601;
;306602;;Massagekudde DYNAIR;FÖRBRUKN;;;Other;Dynair Massagekudde;Mycket användbart redskap både under träningspasset och i vardagen. Avlastar och stärker när du sitter. Med slät yta.  Blandade färger.;;;;;372.28;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306602;
;306604;;Massagekudde DYNAIR Senso;FÖRBRUKN;;;Other;Schildkröt massage-och balanskudde;PVC-balansdyna (fri från ftalat), uppblåsbar med massagestruktur, 33 cm i diam. Används för att träna balans, koordination, styrka och blodcirkulation. Kudden kan också användas för fotmassage. Levereras inkl minipump.;;;;;323.9;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306604;
;306609;;Hantelboll STONIES;FÖRBRUKN;;;Functional training;Stonies Hantelboll 0,5 kg;Hantelboll för fitness och rehabilitering. Lätt att greppa tack vare den flexibla fyllningen. Finns i 3 vikter.;;;;;151.7;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306609;
;306610;;Hantelboll STONIES;FÖRBRUKN;;;Functional training;Stonies Hantelboll 1 kg;Hantelboll för fitness och rehabilitering. Lätt att greppa tack vare den flexibla fyllningen. Finns i 3 vikter.;;;;;194.34;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306610;
;306611;;Hantelboll STONIES;FÖRBRUKN;;;Functional training;Stonies Hantelboll 1,5 kg;Hantelboll för fitness och rehabilitering. Lätt att greppa tack vare den flexibla fyllningen. Finns i 3 vikter.;;;;;229.6;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306611;
;306612;;Balans & Massagesten;FÖRBRUKN;;;Other;Balans & Massagesten;Tränar balans, koordination, muskelstyrka och motorik. Kan även användas för massage. Säljs per st.;;;;;182.86;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306612;
;306613;;Piggrulle;FÖRBRUKN;;;Other;Piggrulle L - 15 cm;För massage av hela kroppen. Kan rullas under fötterna för att massera reflexzonerna. Stimulerar blodcirkulationen och ger avslappning i musklerna. Längd: 15 cm.;;;;;106.6;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306613;
;306615;;Fitnessboll GYMNIC Plus;FÖRBRUKN;;;Functional training;Gymnic Plus boll Grön 55 cm;Trevligt redskap för rörelseträning, rehabilitering, balans- och fitnessövningar. Bollen har den rätta, mjuka ytkänslan och är speciellt utformad att tåla höga vikter (300 kg) och tuffa tag. Bristningssäker vid skada.;;;;;192.7;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306615;
;306621;;Fitnessboll GYMNIC;FÖRBRUKN;;;Functional training;Fitnessboll 55 cm;En mycket populär boll för träning av balans- och fitnessövningar. Bollen ger många träningstillfällen även i vardagen, sitt t ex på den då du läser eller tittar på tv, så tränar du både balans, rygg och magmuskler. Bristningssäker vid skada. Finns i 2 storlekar.;;;;;192.7;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306621;
;306622;;Fitnessboll GYMNIC;FÖRBRUKN;;;Functional training;Fitnessboll 65 cm;En mycket populär boll för träning av balans- och fitnessövningar. Bollen ger många träningstillfällen även i vardagen, sitt t ex på den då du läser eller tittar på tv, så tränar du både balans, rygg och magmuskler. Bristningssäker vid skada. Finns i 2 storlekar.;;;;;218.94;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306622;
;306623;;Hoppboll;FÖRBRUKN;;;Functional training;Hoppboll 65 cm;Rolig och uppskattad lekboll. Finns i 2 storlekar.;;;;;218.94;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306623;
;306624;;Fitnessboll GYMNIC Plus;FÖRBRUKN;;;Functional training;Gymnic Plus boll Grön 75 cm;Trevligt redskap för rörelseträning, rehabilitering, balans- och fitnessövningar. Bollen har den rätta, mjuka ytkänslan och är speciellt utformad att tåla höga vikter (300 kg) och tuffa tag. Bristningssäker vid skada.;;;;;269.78;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/306624;
;307010;;Klätterställning RANTZOWS Borgen;INREDNING;;;Other;Klätterställning RANTZOWS Borgen Vänster;En komplett klätterställning sammanbyggd av tre moduler. Modul 1 (se art 307011 och 307021), 2 (se art 307012 och 307022) och 3 (se art 307013 och 307023) ingår i Borgen Bas. Enkelt svängbar ifrån vägg. Höjden är 2700 mm med hjul. Finns både som vänster-;;;;;49,727.26;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307010;
;307011;;Svängbar modul RANTZOWS ribbstol;INREDNING;;;Other;Svängbar modul RANTZOWS ribbstol Vänster;Klätterställning som består av en ribbstol och klätterenhet. Finns både som höger- och vänstermodul.;;;;;14,555.00;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307011;
;307012;;Svängbar modul RANTZOWS klättervägg;INREDNING;;;Other;Svängbar modul RANTZOWS klättervägg vänster;Klätterställning som består av klätterskiva och ribbstol. Finns både som höger- och vänstermodul.;;;;;18,901.00;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307012;
;307013;;Svängbar modul RANTZOWS klätternät;INREDNING;;;Other;Svängbar modul RANTZOWS klätternät vänster;Klätterställning som består av hålskiva och klätternät. Finns både som höger- och vänstermodul.;;;;;22,741.06;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307013;
;307014;;Svängbar modul RANTZOWS klätterstege;INREDNING;;;Other;Svängbar modul RANTZOWS klätterstege vänster;Klätterställning som består av klätterstege och ribbstol. Finns både som höger- och vänstermodul.;;;;;19,001.86;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307014;
;307015;;Sammankopplingsbom till Borgen;INREDNING;;;Other;Sammankopplingsbom till  Borgen;För att koppla ihop Klätterställning Borgen och en svängbar modul. Tillverkad i lackerad furu. Komplett sats.;;;;;5,049.56;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307015;
;307016;;Klätternät till Borgen;INREDNING;;;Other;Klätternät till Borgen;Att spänna fast på bom. 2000 x 2750 mm. Standardfärg blå. Komplett sats med spännband.;;;;;9,603.02;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307016;
;307020;;Klätterställning RANTZOWS Borgen;INREDNING;;;Other;Klätterställning RANTZOWS Borgen höger;En komplett klätterställning sammanbyggd av tre moduler. Modul 1 (se art 307011 och 307021), 2 (se art 307012 och 307022) och 3 (se art 307013 och 307023) ingår i Borgen Bas. Enkelt svängbar ifrån vägg. Höjden är 2700 mm med hjul. Finns både som vänster-;;;;;52,556.26;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307020;
;307021;;Svängbar modul RANTZOWS ribbstol;INREDNING;;;Other;Svängbar modul RANTZOWS ribbstol höger;Klätterställning som består av en ribbstol och klätterenhet. Finns både som höger- och vänstermodul.;;;;;14,655.86;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307021;
;307022;;Svängbar modul RANTZOWS klättervägg;INREDNING;;;Other;Svängbar modul RANTZOWS klättervägg höger;Klätterställning som består av klätterskiva och ribbstol. Finns både som höger- och vänstermodul.;;;;;18,901.00;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307022;
;307023;;Svängbar modul RANTZOWS klätternät;INREDNING;;;Other;Svängbar modul RANTZOWS klätternät höger;Klätterställning som består av hålskiva och klätternät. Finns både som höger- och vänstermodul.;;;;;22,236.76;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307023;
;307024;;Svängbar modul RANTZOWS klätterstege;INREDNING;;;Other;Svängbar modul RANTZOWS klätterstege höger;Klätterställning som består av klätterstege och ribbstol. Finns både som höger- och vänstermodul.;;;;;18,901.00;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307024;
;307030;;Klättervägg RANTZOWS för ribbstol;INREDNING;;;Arena;Klättervägg RANTZOWS för ribbstol;Mycket populär modell för barn i alla åldrar. Placera flera sektioner bredvid varandra för större klättervägg. Tillverkad i björkplywood med kraftiga upphängningskrokar på baksidan och en fästrem nedtill. 35 utplacerade hål för greppen. Exkl. grepp. Höjd:;;;;;2,173.82;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307030;
;307035;;Klätterväggsskiva RANTZOWS 1200 x 1200;INREDNING;;;Arena;Klätterväggskiva RANTZOWS 1200x1200 mm;Klätterväggsskiva med måtten 1200 x 1200 mm. Våra klätterväggsskivor är av klarlackad björkplywood i standardutförande, men går att få i valfri kulör. Kontakta oss för mer information.;;;;;1,900.76;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307035;
;307040;;Klättergrepp;INREDNING;;;Arena;Klättergrepp, Svåra 10 St;Bra grepp, rundade former där svårighetsgraden varierar beroende på vilken sats man väljer, finns i svårighetsgrader. Sats om 10 st. Exkl. bultar som säljs separat.;;;;;535.46;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/307040;
;307041;;Klättergrepp;INREDNING;;;Arena;Klättergrepp, Medium 10 St;Bra grepp, rundade former där svårighetsgraden varierar beroende på vilken sats man väljer, finns i svårighetsgrader. Sats om 10 st. Exkl. bultar som säljs separat.;;;;;535.46;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/307041;
;307042;;Klättergrepp;INREDNING;;;Arena;Klättergrepp, Lätta 10 St;Bra grepp, rundade former där svårighetsgraden varierar beroende på vilken sats man väljer, finns i svårighetsgrader. Sats om 10 st. Exkl. bultar som säljs separat.;;;;;535.46;SEK;25%;SET;;;;;https://webshop.unisport.com/se_sv/image/307042;
;307043;;Klättergrepp ERGO HOLDS;INREDNING;;;Arena;Klättergrepp Ergo Holds;Klättergrepp för montering horisontellt på befintligt underlag. Satsen består av 4 greppserier om 23 grepp, totalt 92 grepp, i 4 olika färger. Greppen ger en 6-10 meter bred klättervägg där det inte krävs någon övrig säkerhetsutrustning. Monteringsanvisning och förslag på pedagogiska övningar ingår. Exkl. bultar.;;;;;5,049.56;SEK;25%;SATS;;;;;https://webshop.unisport.com/se_sv/image/307043;
;307046;;Bultsats till klättergrepp 10-p;INREDNING;;;Arena;Bultsats Klättergrepp 10st;Bultsats till 10 st klättergrepp.;;;;;111.52;SEK;25%;SATS;;;;;https://webshop.unisport.com/se_sv/image/307046;
;307050;;Klätterselesats Senior;INREDNING;;;Arena;Klätterselesats Vuxen;Komplett med sele, rep, toppfäste med karbinhake, bromsåtta, bromsbeslag för passare, skruvkarbinhake m m. För vuxna.;;;;;6,495.22;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307050;
;307051;;Klätterselesats Junior;INREDNING;;;Arena;Klätterselesats Barn;Komplett med sele, rep, toppfäste med karbinhake, bromsåtta, bromsbeslag för passare, skruvkarbinhake m m. För barn upp till 40 kg.;;;;;6,268.08;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307051;
;307052;;Klättersele Senior;INREDNING;;;Arena;Klättersele, vuxenstorlek;Klättersele i vuxenstorlek (strl S/M).;;;;;1,405.48;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307052;
;307053;;Klättersele Junior;INREDNING;;;Arena;Klättersele, barnstorlek;Klättersele i barnstorlek (upp till 40 kg).;;;;;858.54;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307053;
;307054;;Klätterrep;INREDNING;;;Arena;Klätterrep Diam 10,5 mm. lpm.;Klätterrep som säljs per löpmeter. Diameter 10,5 mm.;;;;;79.54;SEK;25%;M;;;;;https://webshop.unisport.com/se_sv/image/307054;
;307055;;Toppfäste med karbinhake;INREDNING;;;Arena;Toppfäste Med Karbinhake;Toppfäste med karbinhake.;;;;;1,148.00;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307055;
;307056;;Bromsåtta;INREDNING;;;Arena;Bromsåtta;Bromsåtta till klättring.;;;;;283.72;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307056;
;307057;;Bromsbeslag för passare;INREDNING;;;Arena;Bromsbeslag För Passare;Bromsbeslag för passare.;;;;;1,405.48;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307057;
;307058;;Skruvkarbin;INREDNING;;;Arena;Skruvkarbin;Skruvkarbinhake för klättring.;;;;;283.72;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307058;
;307059;;Klätterväggshängare;INREDNING;;;Arena;Klätterväggshängare;Klätterväggshängare.;;;;;101.68;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307059;
;307060;;Klätterväggsskydd;INREDNING;;;Arena;Klätterväggs-Skydd 3 X 3,76;Skydd för klättervägg. Mått: 3000 x 3760 mm.;;;;;6,417.32;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307060;
;307100;;Takfäste för redskap;INREDNING;;;Other;Takfäste för redskap;Platta med bygel och bult. Avsett för lodlina, repstege och romerska ringar.;;;;;353.42;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307100;
;307150;;Redskapsskena;INREDNING;;;Other;Redskapsskena 4 m, 7 vagnar;Längd 4000 mm. För fastsättning i tak. I skenan löper 7 st vagnar på kullagrade nylonhjul. Vagnarna låses med den yttre vagnen i vilken en lodlina bör hänga. Skenan levereras exkl redskap.;;;;;6,060.62;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307150;
;307200;;Leklina;INREDNING;;;Other;Leklina 2200 mm;Av polerad hampa med beslag upptill. Exkl. takfäste. Finns för 3 takhöjder. 2200 mm = Takhöjd 2500 mm. 2700 mm = Takhöjd 3000 mm. 3200 mm = Takhöjd 3500 mm.;;;;;656.82;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307200;
;307201;;Leklina;INREDNING;;;Other;Leklina 2700 mm;Av polerad hampa med beslag upptill. Exkl. takfäste. Finns för 3 takhöjder. 2200 mm = Takhöjd 2500 mm. 2700 mm = Takhöjd 3000 mm. 3200 mm = Takhöjd 3500 mm.;;;;;707.66;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307201;
;307202;;Leklina;INREDNING;;;Other;Leklina 3200 mm;Av polerad hampa med beslag upptill. Exkl. takfäste. Finns för 3 takhöjder. 2200 mm = Takhöjd 2500 mm. 2700 mm = Takhöjd 3000 mm. 3200 mm = Takhöjd 3500 mm.;;;;;758.5;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/307202;
;307220;;Romerska ringar RANTZOWS;INREDNING;;;Other;Romerska ringar RANTZOWS 1500;Av kryssfanérlimmad björk. Upphängda i terylenband, justerbara. Exkl. takfäste. Finns för 2 takhöjder. 1500 mm = Takhöjd 2500 mm. 2000 mm = Takhöjd 3500 mm;;;;;2,219.74;SEK;25%;PAR;;;;;https://webshop.unisport.com/se_sv/image/307220;
;307221;;Romerska ringar RANTZOWS;INREDNING;;;Other;Romerska ringar RANTZOWS 2000;Av kryssfanérlimmad björk. Upphängda i terylenband, justerbara. Exkl. takfäste. Finns för 2 takhöjder. 1500 mm = Takhöjd 2500 mm. 2000 mm = Takhöjd 3500 mm;;;;;2,724.86;SEK;25%;PAR;;;;;https://webshop.unisport.com/se_sv/image/307221;
