Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,blue with BC101,,L,,,33500404-blue-with-bc101-l,0,shopify,deny,oberlo,481.12,481.12,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1420960879.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,blue with BC101,,M,,,33500404-blue-with-bc101-m,0,shopify,deny,oberlo,481.12,481.12,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1420960879.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,BC102 underwear,,L,,,33500404-bc102-underwear-l,0,shopify,deny,oberlo,188.84,188.84,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1420960870.jpg?v=1632999700,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,BC102 underwear,,XL,,,33500404-bc102-underwear-xl,0,shopify,deny,oberlo,188.84,188.84,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1420960870.jpg?v=1632999700,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,BC102 underwear,,XXL,,,33500404-bc102-underwear-xxl,0,shopify,deny,oberlo,188.84,188.84,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1420960870.jpg?v=1632999700,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,BC102 underwear,,XXXL,,,33500404-bc102-underwear-xxxl,0,shopify,deny,oberlo,188.84,188.84,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1420960870.jpg?v=1632999700,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,BC102 underwear,,M,,,33500404-bc102-underwear-m,0,shopify,deny,oberlo,188.84,188.84,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1420960870.jpg?v=1632999700,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,B no pad,,XXXL,,,33500404-b-no-pad-xxxl,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284555.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,Q no pad,,M,,,33500404-q-no-pad-m,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284556.jpg?v=1632999703,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,Q no pad,,L,,,33500404-q-no-pad-l,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284556.jpg?v=1632999703,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,Q no pad,,XL,,,33500404-q-no-pad-xl,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284556.jpg?v=1632999703,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,B no pad,,M,,,33500404-b-no-pad-m,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284555.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,B no pad,,L,,,33500404-b-no-pad-l,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284555.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,B no pad,,XL,,,33500404-b-no-pad-xl,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284555.jpg?v=1632999694,kg,,,
wosawe-man-vadderade-cykelshorts-reflekterande-mtb-mountainbike-cykelbyxor-vattentaliga-loose-fit-shorts,,,,,,,,,B no pad,,XXL,,,33500404-b-no-pad-xxl,0,shopify,deny,oberlo,357.06,357.06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0542/0462/9171/products/product-image-1662284555.jpg?v=1632999694,kg,,,
